UserID,MovieID,MovieTitle
3718,3089,"Bicycle Thief, The (Ladri di biciclette) (1948)"
3718,2289,"Player, The (1992)"
3718,3093,McCabe & Mrs. Miller (1971)
3718,3424,Do the Right Thing (1989)
3718,608,Fargo (1996)
3718,1306,Until the End of the World (Bis ans Ende der Welt) (1991)
3718,2132,Who's Afraid of Virginia Woolf? (1966)
3718,824,Kaspar Hauser (1993)
3718,2303,Nashville (1975)
3718,2305,Slam (1998)
3718,3134,"Grand Illusion (Grande illusion, La) (1937)"
3718,3152,"Last Picture Show, The (1971)"
4928,3418,Thelma & Louise (1991)
4928,247,Heavenly Creatures (1994)
4928,608,Fargo (1996)
4928,2160,Rosemary's Baby (1968)
4928,3152,"Last Picture Show, The (1971)"
4928,2599,Election (1999)
4928,1208,Apocalypse Now (1979)
4928,1247,"Graduate, The (1967)"
4928,1252,Chinatown (1974)
4928,3210,Fast Times at Ridgemont High (1982)
4928,448,Fearless (1993)
4928,1304,Butch Cassidy and the Sundance Kid (1969)
4928,111,Taxi Driver (1976)
4928,571,"Wedding Gift, The (1994)"
4928,581,"Celluloid Closet, The (1995)"
4928,6,Heat (1995)
4928,597,Pretty Woman (1990)
4928,2071,And the Band Played On (1993)
4928,2076,Blue Velvet (1986)
4928,3020,Falling Down (1993)
5470,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)"
5470,3022,"General, The (1927)"
5470,903,Vertigo (1958)
5470,908,North by Northwest (1959)
5470,978,"Blue Angel, The (Blaue Engel, Der) (1930)"
5470,3456,"Color of Paradise, The (Rang-e Khoda) (1999)"
5470,1147,When We Were Kings (1996)
5470,1178,Paths of Glory (1957)
5470,3163,Topsy-Turvy (1999)
5470,2966,"Straight Story, The (1999)"
5470,1250,"Bridge on the River Kwai, The (1957)"
5470,1252,Chinatown (1974)
5470,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
5470,2677,Buena Vista Social Club (1999)
5470,3341,Born Yesterday (1950)
5470,2732,Jules and Jim (Jules et Jim) (1961)
5470,2010,Metropolis (1926)
5470,2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)
5470,3007,American Movie (1999)
5470,592,Batman (1989)
